Time,Country,Region,GDP_PC,GDP_PCG,Gini index,Homicide,Trade ,GOV_EXP,ETPR_M1524,SEPM,SESM,SETM,UNEM_M,Urban_pop
2012,El Salvador,Latin America,3428.409332,2.364627628,41.8,41.58436095,77.64857162,15.75744115,57.90000153,115.0916138,73.9315567,26.92601013,4.230000019,4191073
2013,Denmark,Europe,61191.1937,0.513424428,28.5,0.85134278,103.0501411,26.00748763,47.97000122,102.0606232,127.6575775,68.02861023,7.119999886,4901386
2013,Sweden,Europe,61126.9432,0.333984863,28.8,0.904552457,80.81566528,26.19657826,40.54000092,117.0536575,120.7186279,49.74898148,8.199999809,8250182
2013,Finland,Europe,49892.22336,-1.357215611,27.2,1.636335021,77.09388658,24.53639127,39.11999893,100.7185211,137.8135071,82.57924652,8.819999695,4629925
2013,Netherlands,Europe,52198.89756,-0.424178694,28.1,0.742125514,149.5493313,25.78887841,59.16999817,,,,7.190000057,14987369
2013,Switzerland,Europe,88109.48675,0.657546866,32.5,0.702933428,130.8916368,11.29681443,62.90999985,103.6966171,100.0855713,55.93574905,4.599999905,5959745
2013,Germany,Europe,46298.92292,0.163870563,31.5,0.840166637,85.0788767,19.63092464,48.40999985,101.1045532,103.1813278,63.23871994,5.5,62242278
2013,Honduras,Latin America,2102.592449,0.947637134,50,73.09180494,116.3060492,16.73381325,67.33000183,94.25045776,55.73447037,16.5483799,4.559999943,4738709
2013,Trinidad and Tobago,Latin America,20162.73321,1.598297011,,30.06556805,,,49.34999847,,,,2.279999971,724640
2013,Guatemala,Latin America,3522.773706,1.888642581,,33.05372638,56.68522075,11.28794861,64.68000031,107.467453,54.87480927,19.15641022,2.670000076,7418337
2013,"Venezuela, RB",Latin America,12457.7686,-0.086885745,,,54.27776127,12.38882101,,103.2338867,89.47453308,,0,26246929
2013,Jamaica,Latin America,4989.734089,-0.065368676,,42.04693725,83.25957198,15.50035752,29.82999992,,,16.64401054,7.400000095,1553709
2013,El Salvador,Latin America,3509.526536,1.772805347,43.4,40.10484392,80.45119449,16.30588205,56.95999908,112.2475967,77.25312805,27.12939072,3.960000038,4263187
2014,Denmark,Europe,62548.98473,1.105433466,28.4,1.306451274,102.2639163,25.78565204,48.75999832,101.8618774,126.6911774,67.4360199,6.730000019,4932961
2014,Sweden,Europe,60020.36046,1.644244006,28.4,0.897634856,82.93353169,26.08433328,41.58000183,117.6598969,124.7716522,49.26504135,8.18999958,8362604
2014,Finland,Europe,50327.24029,-0.776108383,26.8,1.611305505,74.11272276,24.50736357,39.77000046,100.8280106,139.671463,80.82491302,9.329999924,4651843
2014,Netherlands,Europe,52900.53742,1.059101254,28.6,0.728133054,150.0537554,25.68124963,58.72000122,,,,7.139999866,15126226
2014,Switzerland,Europe,89684.70758,1.204481604,32.5,0.499634231,116.2907549,11.35636927,62.43999863,103.4496384,,56.75971985,4.690000057,6034707
2014,Germany,Europe,48023.86998,1.784341886,30.9,0.879062919,84.62009339,19.58902519,47.68999863,100.7084274,102.0318604,66.97767639,5.28000021,62510392
2014,Honduras,Latin America,2206.054397,1.250739368,49.9,65.78022482,112.9750973,15.33231155,66.54000092,92.61282349,45.57154083,16.87384033,5.679999828,4882044
2014,Trinidad and Tobago,Latin America,20290.51971,-1.483288035,,29.72832713,,,48.88999939,,,,2.150000095,727665
2014,Guatemala,Latin America,3779.642336,2.653911909,48.3,32.98952135,55.08327928,11.25538493,67.91999817,104.0822678,53.99940872,17.19733047,2.359999895,7597137
2014,"Venezuela, RB",Latin America,16055.64532,-4.732274757,,63.34259928,48.09081353,14.60335378,,102.2132568,89.37473297,,,26481078
2014,Jamaica,Latin America,4834.284009,0.114534393,,34.95485606,84.74094366,14.51828389,30.75,,,,6.980000019,1569365
2014,El Salvador,Latin America,3589.042885,1.241379602,41.6,62.28630286,78.10442575,15.95416729,55.02999878,108.5220795,76.65744019,26.54347992,4.889999866,4335704
2015,Denmark,Europe,53254.85637,1.622166258,28.2,1.089880895,104.0482284,25.46919943,50.40999985,102.1191406,127.3160095,68.69721222,6.059999943,4974525
2015,Sweden,Europe,51545.48361,3.390176296,29.2,1.146959395,83.72381451,25.71819541,42.40999985,120.4872131,131.5075989,49.5831604,7.559999943,8481489
2015,Finland,Europe,42801.90812,0.21302942,27.1,1.49604242,71.38254843,24.38441706,38.13999939,100.8489838,142.9338074,79.84629822,9.880000114,4669930
2015,Netherlands,Europe,45193.40322,1.508266184,28.2,0.61398618,157.816576,24.97855097,59.88999939,102.7184906,132.5559387,75.24510193,6.53000021,15275237
2015,Switzerland,Europe,84776.14217,0.507122106,32.3,0.68701393,113.1222545,11.39139254,60.59000015,104.3274612,103.2155228,56.90903854,4.699999809,6105617
2015,Germany,Europe,41103.25644,0.617105353,31.6,0.833869164,86.24622461,19.6917566,46.47999954,101.7302933,101.1189499,68.40744781,4.96999979,63062064
2015,Honduras,Latin America,2302.204411,2.04738682,49.2,56.49132263,107.2644054,14.30524677,67.05999756,,,17.26531982,4.409999847,5027133
2015,Trinidad and Tobago,Latin America,18383.5387,1.189726739,,30.64950683,,,48.38999939,,,,2.059999943,730647
2015,Guatemala,Latin America,3994.636913,2.346295146,,,49.89345332,11.08810853,69.90000153,103.0793533,55.78076935,20.04137039,1.99000001,7779195
2015,"Venezuela, RB",Latin America,,,,52.03806271,,,,102.046669,87.70834351,,,26518334
2015,Jamaica,Latin America,4907.927415,0.36689482,,41.81909247,76.11752166,13.81600155,28.31999969,,,19.88180923,9.899999619,1585235
2015,El Salvador,Latin America,3705.579704,1.913344163,40.6,105.2311885,76.56027074,16.49744179,55.49000168,,,26.51856995,4.369999886,4408609
2016,Denmark,Europe,54663.99837,2.443368874,28.2,0.98050442,100.1688288,24.86850637,50.09000015,102.38797,127.2971191,68.84726715,5.639999866,5020143
2016,Sweden,Europe,51965.15715,0.7961463,29.6,1.077673522,82.32064509,26.36538679,43.06999969,123.2888031,137.0846558,50.30686951,7.360000134,8618398
2016,Finland,Europe,43814.02651,2.516379895,27.1,1.346013998,70.89850035,23.67114446,40.08000183,100.6373901,144.9400177,79.73754883,9.039999962,4686120
2016,Netherlands,Europe,46039.10593,1.649315547,28.2,0.553550571,148.8586647,24.6834487,59.56999969,103.2833328,131.6285858,75.59783936,5.570000172,15435425
2016,Switzerland,Europe,83073.28008,0.936883741,33,0.536998287,119.7281664,11.37509221,61.84000015,104.9808731,104.4763794,57.48347092,4.840000153,6174416
2016,Germany,Europe,42136.12079,1.408102075,31.6,1.171621645,84.76964597,19.90120393,46.90999985,102.6643906,101.310173,69.69071198,4.449999809,63592936
2016,Honduras,Latin America,2342.584904,2.123580991,49.8,55.55079748,99.81571695,14.11393609,64.87000275,,,17.61895943,5.300000191,5174308
2016,Trinidad and Tobago,Latin America,16241.41096,-6.809304286,,33.61007809,,,42.99000168,,,,3.24000001,733552
2016,Guatemala,Latin America,4173.301666,0.989365749,,,46.37273752,10.44035279,68.69999695,102.4292984,54.870121,,2.119999886,7964335
2016,"Venezuela, RB",Latin America,,,,58.31246793,,,41.43999863,100.1025696,84.65009308,,5.260000229,26318354
2016,Jamaica,Latin America,4843.7499,0.844390414,,46.58937556,76.45515896,13.83993876,32.11000061,,,,6.369999886,1601281
2016,El Salvador,Latin America,3805.995686,2.045533404,40,83.00639209,72.81909337,16.31643933,55.13999939,,,26.30528069,4.829999924,4481140
2017,Denmark,Europe,57610.09818,2.162355113,28.7,1.238600298,102.9793899,24.41208314,51.88000107,101.5849991,128.3951569,68.35646057,5.639999866,5059173
2017,Sweden,Europe,53791.50873,1.195147571,28.8,1.140850054,84.93474943,26.02241165,43.91999817,125.7509766,148.1176758,52.72135162,6.96999979,8764881
2017,Finland,Europe,46412.13648,2.950531373,27.4,1.215668258,75.05313719,22.78734959,41.36000061,100.4065628,146.773941,80.95852661,8.869999886,4699884
2017,Netherlands,Europe,48675.22234,2.304284733,28.5,0.775496975,156.0282112,24.31646314,61.02999878,104.2367096,134.6818695,79.30307007,4.480000019,15602670
2017,Switzerland,Europe,83352.08865,0.641284066,32.7,0.532179285,119.2700372,11.33150537,63.86999893,105.5381775,104.6897888,58.82378006,4.570000172,6234162
2017,Germany,Europe,44652.58917,2.297206047,31.2,0.983565991,87.23720295,19.84044246,47.38000107,103.893013,101.3858032,69.81855011,4.119999886,63861626
2017,Honduras,Latin America,2453.727115,3.083615218,49.4,40.97988592,101.8131111,13.49841646,67.51999664,,,20.67633057,4.039999962,5323340
2017,Trinidad and Tobago,Latin America,16747.9067,-3.138040823,,35.69209427,,,,,,,,736389
2017,Guatemala,Latin America,4454.04815,1.415648841,,32.13128435,46.0694204,10.57282301,71.76000214,102.7097702,54.14197159,,1.929999948,8153103
2017,"Venezuela, RB",Latin America,,,,49.87674509,,,47.91999817,98.25067139,84.73322296,,4.5,25927989
2017,Jamaica,Latin America,5070.099503,0.49207659,,56.38773397,83.52317252,13.38277859,33.40999985,,,,5.480000019,1617507
2017,El Salvador,Latin America,3910.254403,1.734694342,38,62.02133835,74.30465119,16.1331092,56.33000183,,,26.96767998,4.650000095,4553135
2018,Denmark,Europe,61591.92887,1.485085157,28.2,1.008321959,106.9749964,24.27535142,52.34999847,100.5781174,129.7832184,68.65917206,4.940000057,5091100
2018,Sweden,Europe,54589.06039,0.772577449,30,1.083072677,89.1311984,26.05938812,43.02999878,127.5501022,147.0040283,56.14540863,6.480000019,8896291
2018,Finland,Europe,49988.91085,1.00788071,27.3,1.557241763,78.19015882,22.91191941,42.56999969,100.4656601,147.3700256,82.81041718,7.420000076,4709266
2018,Netherlands,Europe,53044.53244,1.764937264,28.1,0.58618159,158.8232102,24.36875555,62.75999832,105.2697067,133.5884247,81.59803772,3.720000029,15765213
2018,Switzerland,Europe,86388.40495,2.161569653,33.1,0.586468024,119.9766351,11.10198767,62.59000015,105.7887726,105.0806198,60.47684097,4.369999886,6283319
2018,Germany,Europe,47973.60762,0.782690047,31.7,0.947976619,88.43440642,19.90480602,48.77999878,103.5328064,100.4210892,69.28555298,3.789999962,64096118
2018,Honduras,Latin America,2510.322943,2.128163573,48.9,38.9255911,103.5511622,13.46225149,68.97000122,,,22.18382072,4.599999905,5474092
2018,Trinidad and Tobago,Latin America,17139.18567,-1.119443773,,37.12654901,,,,,,,,739173
2018,Guatemala,Latin America,4478.424646,1.681706931,,28.22959725,47.08843061,11.082108,70.29000092,103.2051926,53.95769882,,2.00999999,8345772
2018,"Venezuela, RB",Latin America,,,,,,,,,,,,25480748
2018,Jamaica,Latin America,5359.993789,1.40370908,,43.92042804,89.97790604,13.4379512,32.63999939,,,,4.239999771,1633950
2018,El Salvador,Latin America,4052.624775,1.91195325,38.6,52.11237334,75.63361689,16.10965822,55.25,,,27.54276085,4.190000057,4624410
2019,Denmark,Europe,59775.7351,1.749614095,27.7,1.143475511,110.6068039,24.05704093,54.22000122,100.3473129,130.428833,68.91107941,4.800000191,5116342
2019,Sweden,Europe,51939.42974,0.957561656,29.3,1.105975245,91.43382897,25.7532301,42.86999893,123.7831726,141.5666656,59.83710861,6.71999979,9015406
2019,Finland,Europe,48628.64176,1.109278713,27.7,1.590699038,79.60742458,23.19555392,44.11999893,100.1833191,138.8379059,84.81826019,7.179999828,4717991
2019,Netherlands,Europe,52476.27325,1.289889121,29.2,0.637534163,155.2706766,24.61506294,64.65000153,106.0917206,133.6087189,,3.400000095,15935776
2019,Switzerland,Europe,85334.51946,0.491609145,,0.535421571,119.2155365,11.17013631,60.77999878,106.0395508,105.0927887,62.09360886,4.110000134,6332759
2019,Germany,Europe,46794.89929,0.827864779,,0.745955502,87.59966603,20.30302158,50.63999939,102.1015778,100.0859299,72.76339722,3.49000001,64294010
2019,Honduras,Latin America,2574.356751,0.98266168,48.2,42.00648156,98.02758971,13.4889921,67.83999634,,,21.37148094,4.190000057,5626432
2019,Trinidad and Tobago,Latin America,17123.11629,-0.538413534,,38.56716529,,,,,,,,741942
2019,Guatemala,Latin America,4638.634943,2.258711898,,24.95239876,45.59652232,11.12055085,68.80999756,102.9757004,52.14147949,20.52395058,1.820000052,8540945
2019,"Venezuela, RB",Latin America,,,,,,,,,,,,25162368
2019,Jamaica,Latin America,5369.498371,0.432912117,,45.45027486,90.11060763,13.58214167,34.97000122,,,,3.829999924,1650593
2019,El Salvador,Latin America,4167.730939,1.862065946,38.8,37.15784336,75.97683132,16.23249876,57.47999954,,,27.90909958,4.019999981,4694699
